,СТРОИТЕЛНА ТЕХНИКА,/opt/building-tech/,
1,Верижен асфалторазтилач,BOMAG BF 300,1.webp
2,Багер товарач,JCB 3CX PLUS,2.webp
3,Багер товарач,JCB 3CX 14H5WA ,3.webp
4,Багер товарач,JCB 3CX 14H5Wl,4.webp
5,Багер товарач,JCB 3CX 14H5Wl,4.webp
6,Колесен багер,JCB JS175WTTAI,5.webp
7,Миди багер,JCB 86С -2,6.webp
8,Телескопичен товарач,JCB 535-125,7.webp
9,Валяк двубандажен,BOMAG BW 135 AD-5,8.webp
10,Валяк,BOMAG BW 161 AD,9.webp
11,Еднобандажен валяк,BOMAG BW 213 D-5,10.webp
12,Двубандажен валяк,BOMAG BW 100 AD-5,11.webp
13,Валяк пневматичен за асфалтови работи,BOMAG BW 28RH,12.webp
,АВТОТРАНСПОРТ,/opt/autotransport/,
1,Товарен автомобил,FORD TRANSIT,1.webp
2,Товарен автомобил,VOLKSWAGEN TRANSPORTER,2.webp
3,Товарен автомобил,FORD PRITSCHE DK 300 M,3.webp
4,Товарен автомобил,FORD TRANSIT,1.webp
5,Товарен автомобил,FORD TRANZIT,1.webp
6,Товарен автомобил,FORD TRANSIT CUSTOM,1.webp
7,Товарен автомобил ,MERCEDES 814 D VARIO,5.webp
8,Товарен автомобил,MERCEDES 814,5.webp
9,Товарен автомобил,MERCEDES 818 D,6.webp
10,Товарен автомобил,MERCEDES ATEGO 1217,7.webp
11,Товарен автомобил /водоноска/,MAN 12.222 F,8.webp
12,Товарен автомобил,MAN 19.364,9.webp
13,Товарен автомобил,MAN 19.364,9.webp
14,Товарен автомобил,SCANIA G 480 LB,10.webp
15,Товарен автомобил,SKANIA P 114 340,15.webp
16,Товарен автомобил,BMC TUGRA 4340,11.webp
17,Товарен автомобил,RENAULT K,16.webp
18,Товарен автомобил,RENAULT K,16.webp
19,Ремарке за лек автомобил,WIOLA W11P,12.webp
20,Ремарке за товарен автомобил,MULLER MITTELTAL,13.webp
21,Ремарке - тандем ,BOCKMANN D K -3218/35 E,14.webp
,ПОДДЪРЖАНЕ ТЕХНИКА,/opt/maintenance-tech/,
1,роторен снегорин,MERCEDES UNIMOG 1400,1.webp
2,Комбинирана машина за ЗП,DAF LF 55.220,2.webp
3,Комбинирана машина за ЗП,MERCEDES 1824 AXOR,3.webp
4,Комбинирана машина за ЗП,DAF FA LF 55,4.webp
5,Комбинирана машина за ЗП,MERCEDES 2633 AXOR,5.webp
6,Комбинирана машина за ЗП,VOLVO FE 340,6.webp
7,Комбинирана машина за ЗП,VOLVO FE 340,6.webp
8,Комбинирана машина за ЗП,DAF TGA 28.360,8.webp
9,Товарен автомобил,MAN 19.364,
10,Товарен автомобил,MAN 19.364,
11,Товарен автомобил/Снегорин,SKANIA P 114 340,11.webp
12,Колесен багер с мулчиращо устройство,JCB JS175WTTAI,12.webp
,ЛЕКА ТЕХНИКА,/opt/light/,
1,Верижен багер,HITACHI ZX 19-6,1.webp
2,Челен товарач /бобкат/,JSB SSL 250,2.webp
3,фугорези - 5 броя,,3.webp
4,генератор за ток - 3броя,,4.webp
5,Моторен трион 4 броя,Stihl,5.webp
6,Моторни коси 4 броя,Stihl,6.webp
7,Моторен свредел  - 1 брой,Stihl,7.webp
8,Реверсивна вибрационна плоча ,BPR100/80D,8.webp
9,Виброплоча ,WP 1550А,9.webp
10,Метачна машина ,Sweeper ,10.webp
11,Машина за рязане на камък ,STM450-700,11.webp
12,Уред за обдухване - 3броя,Stihl BR 430,12.webp
13,Перфоратор ,GBH 5-40 DCE,13.webp
14,Ъглошлайф ,GWS 850C Ф125,14.webp
15,Иглен вибратор ,IEC 58/230,15.webp
16,Гудронатор ,BS-1000,16.webp
17,Сигнално ремарке,,17.webp
,МИННА ТЕХНИКА,/opt/mining-tech/,
1,Колесен челен товарач,HYUNDAI HL970A,1.webp
2,Верижен багер с пневматичен чук,SUMITOMO SH360LC-7,2.webp
3,Верижен багер с пневматичен чук,HYUNDAI HX300AL,3.webp
4,Мобилна роторна трошачка,METSO LT1213,4.webp
5,Мобилно сито,METSO S4.9,5.webp
